Date,Open,High,Low,Close,Adj Close,Volume
2003-09-17,1.366700,1.370400,1.363600,1.366700,1.366700,0
2003-09-18,1.366000,1.368500,1.359700,1.361500,1.361500,0
2003-09-19,1.362000,1.363000,1.345700,1.347200,1.347200,0
2003-09-22,1.341300,1.355300,1.336500,1.354200,1.354200,0
2003-09-23,1.354900,1.357700,1.345800,1.355100,1.355100,0
2003-09-24,1.354800,1.359500,1.348300,1.350100,1.350100,0
2003-09-25,1.350500,1.352100,1.345100,1.349500,1.349500,0
2003-09-26,1.349300,1.357500,1.348300,1.352800,1.352800,0
2003-09-29,1.353500,1.363800,1.349800,1.351900,1.351900,0
2003-09-30,1.352200,1.355300,1.342400,1.350200,1.350200,0
2003-10-01,1.349700,1.351200,1.343000,1.345100,1.345100,0
2003-10-02,1.344900,1.351300,1.337600,1.340200,1.340200,0
2003-10-03,1.339700,1.348200,1.336900,1.343100,1.343100,0
2003-10-06,1.346500,1.348200,1.338700,1.339000,1.339000,0
2003-10-07,1.339500,1.341600,1.327200,1.331200,1.331200,0
2003-10-08,1.331200,1.335000,1.325400,1.332300,1.332300,0
2003-10-09,1.332200,1.341700,1.327900,1.338300,1.338300,0
2003-10-10,1.338400,1.339600,1.318400,1.322600,1.322600,0
2003-10-13,1.319200,1.326000,1.318000,1.321400,1.321400,0
2003-10-14,1.322200,1.331400,1.320500,1.323200,1.323200,0
2003-10-15,1.321200,1.330500,1.321200,1.327600,1.327600,0
2003-10-16,1.327600,1.330200,1.312200,1.318500,1.318500,0
2003-10-17,1.318400,1.322800,1.311300,1.313500,1.313500,0
2003-10-20,1.315500,1.321900,1.313600,1.319100,1.319100,0
2003-10-21,1.319200,1.325000,1.313000,1.317500,1.317500,0
2003-10-22,1.317600,1.318200,1.301900,1.303400,1.303400,0
2003-10-23,1.303500,1.311100,1.301000,1.305600,1.305600,0
2003-10-24,1.305800,1.308400,1.302700,1.305900,1.305900,0
2003-10-27,1.307500,1.313200,1.305500,1.310900,1.310900,0
2003-10-28,1.310800,1.316600,1.306900,1.309900,1.309900,0
2003-10-29,1.309900,1.312800,1.306100,1.311900,1.311900,0
2003-10-30,1.311900,1.315100,1.305100,1.314800,1.314800,0
2003-10-31,1.315300,1.322500,1.313400,1.316900,1.316900,0
2003-11-03,1.319700,1.337700,1.318400,1.333800,1.333800,0
2003-11-04,1.333700,1.343200,1.327700,1.330800,1.330800,0
2003-11-05,1.330300,1.335500,1.327800,1.334000,1.334000,0
2003-11-06,1.334100,1.341300,1.331500,1.341100,1.341100,0
2003-11-07,1.340700,1.342100,1.320000,1.321400,1.321400,0
2003-11-10,1.323500,1.325100,1.308600,1.312400,1.312400,0
2003-11-11,1.312200,1.316200,1.308900,1.313200,1.313200,0
2003-11-12,1.313200,1.313400,1.297900,1.303600,1.303600,0
2003-11-13,1.303600,1.304800,1.295200,1.297800,1.297800,0
2003-11-14,1.297700,1.304400,1.295600,1.302500,1.302500,0
2003-11-17,1.300300,1.315000,1.298400,1.314100,1.314100,0
2003-11-18,1.313800,1.317000,1.296900,1.299900,1.299900,0
2003-11-19,1.299600,1.306500,1.297300,1.303100,1.303100,0
2003-11-20,1.303500,1.306000,1.297500,1.303200,1.303200,0
2003-11-21,1.303800,1.310200,1.299100,1.302400,1.302400,0
2003-11-24,1.302600,1.321900,1.300100,1.317300,1.317300,0
2003-11-25,1.317000,1.319500,1.308700,1.310700,1.310700,0
2003-11-26,1.311400,1.312800,1.300000,1.303800,1.303800,0
2003-11-27,1.304200,1.309700,1.303600,1.307000,1.307000,0
2003-11-28,1.306700,1.308900,1.293100,1.300400,1.300400,0
2003-12-01,1.297800,1.304400,1.296700,1.304200,1.304200,0
