Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,585797.625000,593921.875000,585797.625000,593921.875000,593921.875000,2755078087712
2020-04-28,594026.250000,594383.875000,588210.750000,593896.187500,593896.187500,2524664530717
2020-04-29,593869.875000,667758.250000,591778.687500,662441.812500,662441.812500,4531248917812
2020-04-30,662188.312500,707954.437500,643129.312500,652947.562500,652947.562500,5049849053234
2020-05-01,654020.500000,684844.937500,653642.000000,672472.375000,672472.375000,3342983996778
2020-05-02,672797.812500,683024.062500,664460.750000,681614.250000,681614.250000,3043430828238
2020-05-03,681236.437500,691337.812500,667630.250000,672054.687500,672054.687500,3557750820810
2020-05-04,671924.500000,677503.125000,654676.875000,674153.187500,674153.187500,3458169567407
2020-05-05,674166.562500,684506.812500,670900.312500,683718.375000,683718.375000,3276815070336
2020-05-06,684050.312500,717596.687500,680948.687500,706511.875000,706511.875000,3763374549946
2020-05-07,705988.437500,756565.562500,695609.125000,753450.375000,753450.375000,4626970896226
2020-05-08,752287.750000,757394.250000,738056.437500,742885.062500,742885.062500,3908203739214
2020-05-09,742752.250000,748843.625000,723377.000000,724377.562500,724377.562500,3515928463491
2020-05-10,724171.625000,724504.750000,634124.437500,661405.187500,661405.187500,4783189168963
2020-05-11,661337.500000,685381.187500,636116.937500,653199.750000,653199.750000,4337544989759
2020-05-12,653852.062500,672719.062500,650758.187500,663584.687500,663584.687500,3176254477757
2020-05-13,663653.250000,702900.625000,663653.250000,699292.625000,699292.625000,3436733309707
2020-05-14,699393.812500,739127.375000,698492.375000,734847.187500,734847.187500,4259948658528
2020-05-15,734890.125000,736516.125000,702727.125000,707795.625000,707795.625000,3654145444192
2020-05-16,708178.250000,725703.187500,702673.687500,711499.687500,711499.687500,2744073980712
2020-05-17,711341.562500,745339.937500,709415.500000,733332.250000,733332.250000,3039589088530
2020-05-18,733708.062500,751174.437500,727210.437500,735426.312500,735426.312500,3162549922026
2020-05-19,735463.250000,744117.625000,721839.437500,736585.437500,736585.437500,2971942216781
2020-05-20,736304.687500,742369.875000,713875.875000,719366.000000,719366.000000,2760702947130
2020-05-21,719347.812500,721803.000000,670624.375000,686917.187500,686917.187500,2974512568234
2020-05-22,686809.250000,701472.312500,683291.750000,697830.812500,697830.812500,2265472549485
2020-05-23,698019.687500,706944.500000,692931.562500,699860.687500,699860.687500,2107181844772
2020-05-24,700088.312500,705873.125000,667787.187500,668024.062500,668024.062500,2471266521789
2020-05-25,667700.250000,679157.562500,661574.312500,675890.250000,675890.250000,2374258010573
2020-05-26,676091.437500,680399.812500,661631.062500,666958.125000,666958.125000,2233310272631
2020-05-27,667133.937500,698497.937500,666890.562500,696799.812500,696799.812500,2484865966578
2020-05-28,697097.812500,722656.250000,692675.375000,721099.187500,721099.187500,2601586919259
2020-05-29,721296.375000,724728.500000,709007.687500,712872.875000,712872.875000,2484459676437
2020-05-30,712857.000000,732879.437500,707405.375000,732606.312500,732606.312500,2471343796184
2020-05-31,732583.000000,732601.000000,712357.250000,714529.437500,714529.437500,2097527730099
2020-06-01,714721.750000,770001.875000,713482.375000,767767.000000,767767.000000,2657995735718
2020-06-02,767442.687500,763553.937500,709429.875000,715364.750000,715364.750000,2937878923652
2020-06-03,715661.750000,729389.937500,712922.250000,727420.750000,727420.750000,1883760640927
2020-06-04,727355.750000,745624.750000,719737.187500,739536.437500,739536.437500,1956007567122
2020-06-05,739504.687500,745899.250000,730684.625000,730371.125000,730371.125000,1776493333836
